iter	Passed	Remaining
731	1635	598
732	1636	596
733	1638	593
734	1639	591
735	1641	588
736	1642	586
737	1644	583
738	1646	581
739	1647	579
740	1649	576
741	1651	574
742	1652	571
743	1654	569
744	1655	566
745	1657	564
746	1659	561
747	1660	559
748	1662	557
749	1664	554
750	1666	552
751	1667	549
752	1669	547
753	1670	545
754	1672	542
755	1673	540
756	1675	537
757	1676	535
758	1678	533
759	1680	530
760	1682	528
761	1684	526
762	1686	523
763	1687	521
764	1689	518
765	1691	516
766	1692	514
767	1695	512
768	1698	510
769	1699	507
770	1701	505
771	1703	503
772	1705	500
773	1707	498
774	1709	496
775	1711	494
776	1713	491
777	1714	489
778	1716	486
779	1717	484
780	1719	482
781	1721	479
782	1724	477
783	1726	475
784	1728	473
785	1729	470
786	1731	468
787	1732	466
788	1734	463
789	1737	461
790	1741	460
791	1743	457
792	1745	455
793	1746	453
794	1748	450
795	1749	448
796	1751	446
797	1753	443
798	1754	441
799	1756	439
800	1758	436
801	1759	434
802	1761	432
803	1762	429
804	1764	427
805	1765	425
806	1767	422
807	1768	420
808	1770	417
809	1772	415
810	1773	413
811	1775	411
812	1776	408
813	1778	406
814	1779	404
815	1781	401
816	1782	399
817	1784	396
818	1785	394
819	1787	392
820	1789	390
821	1791	387
822	1792	385
823	1794	383
824	1796	380
825	1797	378
826	1799	376
827	1800	374
828	1802	371
829	1803	369
830	1805	367
831	1806	364
832	1808	362
833	1809	360
834	1811	357
835	1812	355
836	1814	353
837	1815	351
838	1817	348
839	1819	346
840	1820	344
841	1822	341
842	1824	339
843	1825	337
844	1827	335
845	1828	332
846	1830	330
847	1832	328
848	1834	326
849	1836	324
850	1837	321
851	1839	319
852	1841	317
853	1842	315
854	1844	312
855	1846	310
856	1848	308
857	1850	306
858	1851	303
859	1853	301
860	1855	299
861	1856	297
862	1858	294
863	1859	292
864	1861	290
865	1863	288
866	1864	286
867	1866	283
868	1868	281
869	1869	279
870	1871	277
871	1873	274
872	1874	272
873	1876	270
874	1878	268
875	1879	266
876	1881	263
877	1882	261
878	1884	259
879	1885	257
880	1887	254
881	1888	252
882	1890	250
883	1892	248
884	1893	246
885	1895	243
886	1897	241
887	1898	239
888	1899	237
889	1901	234
890	1902	232
891	1904	230
892	1905	228
893	1907	226
894	1909	224
895	1911	221
896	1912	219
897	1914	217
898	1916	215
899	1917	213
900	1919	210
901	1920	208
902	1922	206
903	1923	204
904	1925	202
905	1927	200
906	1929	197
907	1931	195
908	1932	193
909	1934	191
910	1935	189
911	1937	186
912	1939	184
913	1941	182
914	1942	180
915	1944	178
916	1946	176
917	1947	173
918	1949	171
919	1950	169
920	1952	167
921	1954	165
922	1955	163
923	1957	160
924	1958	158
925	1960	156
926	1961	154
927	1963	152
928	1965	150
929	1967	148
930	1969	145
931	1971	143
932	1972	141
933	1974	139
934	1976	137
935	1977	135
936	1979	133
937	1981	130
938	1982	128
939	1984	126
940	1986	124
941	1988	122
942	1989	120
943	1991	118
944	1992	115
945	1994	113
946	1995	111
947	1997	109
948	1998	107
949	2000	105
950	2002	103
951	2004	101
952	2005	98
953	2007	96
954	2008	94
955	2010	92
956	2011	90
957	2013	88
958	2015	86
959	2017	84
960	2018	81
961	2020	79
962	2021	77
963	2022	75
964	2024	73
965	2026	71
966	2027	69
967	2029	67
968	2031	64
969	2033	62
970	2036	60
971	2038	58
972	2040	56
973	2042	54
974	2044	52
975	2046	50
976	2048	48
977	2050	46
978	2051	44
979	2053	41
980	2054	39
981	2056	37
982	2058	35
983	2059	33
984	2061	31
985	2063	29
986	2066	27
987	2068	25
988	2070	23
989	2072	20
990	2074	18
991	2077	16
992	2079	14
993	2081	12
994	2084	10
995	2086	8
996	2088	6
997	2090	4
998	2092	2
999	2094	0
